,stock,ticker,price,change,change_percentage,group,capitalization
34,ATTICA BANK ΑΝΩΝΥΜΗ ΤΡΑΠΕΖΙΚΗ ΕΤΑΙΡΕΙΑ (ΑΤΤ),ΑΤΤ,0.1752,0.0016,0.92,Financial,214484999.0
36,ATTICA Α.Ε. ΣΥΜ/ΧΩΝ (ΑΤΤΙΚΑ),ΑΤΤΙΚΑ,1.1200,-0.0400,-3.45,Travel and Tourism,241702544.0
41,VIDAVO Α.Ε. (ΒΙΝΤΑ),ΒΙΝΤΑ,0.00,0.00,0.0,Other,
42,VIOHALCO SA/NY (ΒΙΟ),ΒΙΟ,4.9800,0.0100,0.2,Metalurgy and plastic,1290765010.0
43,BIOKARPET S.A. (ΒΙΟΚΑ),ΒΙΟΚΑ,1.5400,0.0200,1.32,Building Materials,36939210.0
44,UNIBIOS ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΣΥΜΜΕΤΟΧΩΝ (ΒΙΟΣΚ),ΒΙΟΣΚ,0.7100,0.0180,2.6,Industrial Manifacturers,11095394.0
48,BYTE COMPUTER ΑΒΕΕ  (ΒΥΤΕ),ΒΥΤΕ,3.6200,0.0500,1.4,Other,57253953.0
51,Γεν. Εμπορίου & Β/νίας (ΓΕΒΚΑ),ΓΕΒΚΑ,1.2800,0.0300,2.4,Industrial Manifacturers,30796800.0
56,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ Α.Ε.  (ΔΕΗ),ΔΕΗ,8.9200,-0.0200,-0.22,Energy and Oil,3407440000.0
59,ΔΟΜΙΚΗ ΚΡΗΤΗΣ Α.Ε.  (ΔΟΜΙΚ),ΔΟΜΙΚ,0.7700,0.0100,1.32,Construction,12226636.0
60,ΔΟΥΡΟΣ Α.Ε. (ΔΟΥΡΟ),ΔΟΥΡΟ,0.2900,-0.0300,-9.38,Consumer and Retail,1148777.0
64,ΕΒΡΟΦΑΡΜΑ ΑΒΕΕ - ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ (ΕΒΡΟΦ),ΕΒΡΟΦ,0.9480,-0.0020,-0.21,Food and Drinks,12962194.0
66,COCA-COLA HBC AG (ΕΕΕ),ΕΕΕ,31.7000,0.1500,0.48,Food and Drinks,11785914751.0
67,ΕΚΤΕΡ Α.Ε. (ΕΚΤΕΡ),ΕΚΤΕΡ,1.2750,-0.0300,-2.3,Construction,14343750.0
68,ΕΛΒΕ Α.Β.Ε.Ε. (ΕΛΒΕ),ΕΛΒΕ,5.9500,-0.0500,-0.83,Consumer and Retail,19679625.0
70,ΕΛΓΕΚΑ  Α.Ε. (ΕΛΓΕΚ),ΕΛΓΕΚ,0.5180,0.0180,3.6,Consumer and Retail,31233124.0
71,ΕΛΙΝΟΪΛ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΠΕΤΡΕΛΑΙΩΝ Α.Ε. (ΕΛΙΝ),ΕΛΙΝ,1.9500,-0.0100,-0.51,Energy and Oil,46464854.0
74,Ελλάδος (Τράπεζα της-) (ΕΛΛ),ΕΛΛ,18.9800,0.3400,1.82,Financial,377035536.0
76,ΕΛΛΗΝΙΚΑ ΠΕΤΡΕΛΑΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΣΥΜΜ (ΕΛΠΕ),ΕΛΠΕ,6.9000,0.0700,1.02,Energy and Oil,2108882777.0
77,ΕΛΑΣΤΡΟΝ Α.Ε.Β.Ε-ΧΑΛΥΒΟΥΡΓΙΚΑ ΠΡΟΙΟΝΤΑ (ΕΛΣΤΡ),ΕΛΣΤΡ,2.4700,-0.0500,-1.98,Metalurgy and plastic,45474772.0
79,ΕΛΤΟΝ ΔΙΕΘΝΟΥΣ ΕΜΠΟΡΙΟΥ Α.Ε.Β.Ε. (ΕΛΤΟΝ),ΕΛΤΟΝ,1.8300,-0.0150,-0.81,Industrial Manifacturers,48916242.0
81,ΕΛΒΑΛΧΑΛΚΟΡ Α.Ε (ΕΛΧΑ),ΕΛΧΑ,2.0300,-0.0400,-1.93,Metalurgy and plastic,761740420.0
86,ΕΝΤΕΡΣΟΦΤ Α.Ε (ΕΝΤΕΡ),ΕΝΤΕΡ,5.5000,0.1000,1.85,Technology,165000000.0
88,"EPSILON NET Α.Ε  ΠΛΗΡΟΦΟΡΙΚΗΣ,ΕΚΠΑΙΔΕΥΣΗ (ΕΠΣΙΛ)",ΕΠΣΙΛ,4.4200,0.0200,0.45,Technology,236912000.0
89,ΕΥΡΩΣΥΜΒΟΥΛΟΙ Α.Ε.  (ΕΣΥΜΒ),ΕΣΥΜΒ,0.6400,0.0200,3.23,Other,7120070.0
90,Εθνική Τράπεζα της Ελλάδος (ΕΤΕ),ΕΤΕ,3.2920,0.0620,1.92,Financial,3011242284.0
91,ΕΤΑΙΡΙΑ ΥΔ/ΣΕΩΣ & ΑΠΟΧ/ΣΕΩΣ ΘΕΣ/ΚΗΣ Α.Ε. (ΕΥΑΠΣ),ΕΥΑΠΣ,4.6400,-0.0200,-0.43,Water,168432000.0
93,ΕΤΑΙΡΙΑ ΥΔΡΕΥΣΕΩΣ & ΑΠΟΧΕΤΕΥΣΕΩΣ ΑΕ  (ΕΥΔΑΠ),ΕΥΔΑΠ,7.9600,-0.1300,-1.61,Water,847740000.0
94,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ Α.Ε.Γ.Α. (ΕΥΠΙΚ),ΕΥΠΙΚ,5.9000,-0.0400,-0.67,Insurance,156585451.0
99,ΕΛΛΗΝΙΚΑ ΧΡΗΜΑΤΙΣΤΗΡΙΑ- ΧΑ Α.Ε. ΣΥΜ/ΧΩΝ (ΕΧΑΕ),ΕΧΑΕ,4.0500,-0.0200,-0.49,Financial,244409400.0
104,ΙΑΤΡΙΚΟ ΑΘΗΝΩΝ Ε.Α.Ε. (ΙΑΤΡ),ΙΑΤΡ,1.8800,-0.0250,-1.31,Health,163063642.0
105,ΙΚΤΙΝΟΣ ΕΛΛΑΣ ΑΕ. ΒΙΟΜ. ΜΑΡΜΑΡΩΝ (ΚΑ) (ΙΚΤΙΝ),ΙΚΤΙΝ,0.7880,-0.0070,-0.88,Building Materials,90084475.0
106,ΙΛΥΔΑ Α.Ε (ΙΛΥΔΑ),ΙΛΥΔΑ,1.5900,0.0050,0.32,Technology,13079550.0
108,INTRAKAT ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ (ΙΝΚΑΤ),ΙΝΚΑΤ,2.1100,-0.1100,-4.95,Construction,101336698.0
109,ΙΝΤΕΡΛΑΪΦ (INTERLIFE) ΑΑΕΓΑ (ΙΝΛΙΦ),ΙΝΛΙΦ,4.4400,-0.0600,-1.33,Other,82441529.0
110,ΙΝΤΡΑΛΟΤ Α.Ε.  (ΙΝΛΟΤ),ΙΝΛΟΤ,0.6700,-0.0100,-1.47,Gambling,102015353.0
113,ΙΝΤΕΡΤΕΚ Α.Ε. ΔΙΕΘΝΕΙΣ ΤΕΧΝ/ΓΙΕΣ (ΙΝΤΕΤ),ΙΝΤΕΤ,0.9180,0.0220,2.46,Industrial Manifacturers,7734058.0
114,ΙΝΤΡΑΚΟΜ Α.Ε. ΣΥΜΜΕΤΟΧΩΝ (ΙΝΤΚΑ),ΙΝΤΚΑ,1.8400,-0.0100,-0.54,Technology,139840000.0
118,REDS A.E. ΑΝΑΠΤΥΞΗΣ ΑΚΙΝΗΤΩΝ & ΥΠΗΡΕΣΙΩΝ (ΚΑΜΠ),ΚΑΜΠ,2.2900,-0.0200,-0.87,real_estate,131525884.0
